Time_min,D16_micron,D50_micron,D84_micron
213,58.0418,90.0369,130.374
214,57.3714,84.5965,125.221
215,57.2098,87.563,126.66
216,57.6975,88.251,122.493
217,57.3712,87.4881,122.583
218,57.0796,85.1937,123.228
219,59.5639,87.3567,120.471
220,57.372,87.0183,125.463
221,60.0309,87.7331,125.14
222,59.6946,90.2018,127.151
223,58.3591,88.8974,124.565
224,58.3767,85.8437,118.854
225,56.0613,87.4733,121.901
226,59.2959,86.3419,115.928
227,59.8897,89.6129,127.573
228,57.921,88.7961,123.262
229,58.4566,90.5407,125.567
230,61.0732,90.9034,125.349
231,60.0498,91.9003,127.356
232,57.0061,85.2994,120.377
233,60.0186,88.8277,129.365
234,61.282,89.1426,131.533
235,61.0131,89.2389,125.397
236,61.311,90.0779,127.514
237,58.634,88.0906,123.769
238,58.8201,87.4163,122.287
239,60.3202,88.8169,119.64
240,60.1731,92.5292,129.797
241,58.1698,90.3158,122.1
242,58.8989,91.1382,130.662
243,60.0772,90.2015,128.049
244,57.319,87.5542,121.195
245,61.6664,87.8263,123.268
246,59.2565,87.9709,126.824
247,59.9778,89.0178,123.966
248,58.2672,88.5587,121.652
249,59.8269,86.3438,122.494
250,59.7771,88.6314,122.487
251,58.7282,90.0593,122.642
252,61.2845,90.1762,123.529
253,61.2196,91.151,126.703
254,59.3525,87.4129,120.897
255,59.5812,89.3784,125.41
256,62.5161,88.752,121.913
257,58.3081,88.3591,124.041
258,58.0313,87.7421,126.455
259,58.6556,88.7544,124.673
260,58.7575,88.6816,126.429
261,61.5973,88.6178,122.526
262,62.5303,93.1987,129.831
263,61.5215,89.4967,127.235
264,59.7617,88.472,126.405
265,61.4065,91.3585,124.589
266,61.6565,89.7337,123.421
267,64.0407,91.1864,131.017
268,59.485,88.7682,122.537
269,60.5283,88.8139,127.224
270,58.9827,89.3717,128.877
272.5,58.1767,87.4558,125.366
277.5,60.209,90.4856,130.624
282.5,60.4331,90.2067,127.066
287.5,62.3404,91.0306,129.497
292.5,61.1139,89.9599,126.862
297.5,62.6231,91.0088,122.005
302.5,61.171,88.6574,126.761
307.5,59.0695,88.2216,122.147
312.5,59.9173,87.7479,125.616
317.5,63.2138,89.9525,126.248
322.5,60.396,89.2375,121.35
327.5,60.5087,88.797,124.464
332.5,59.8634,91.0295,121.041
337.5,60.019,89.7555,126.611
342.5,60.9129,92.2671,126.992
347.5,62.061,91.4906,122.964
352.5,60.292,88.5496,124.31
357.5,62.6581,90.057,127.165
362.5,63.5741,93.2234,132.128
367.5,63.5476,91.4564,132.119
372.5,63.7999,92.7922,130.033
377.5,62.1114,89.1714,128.657
382.5,62.2381,91.6809,129.434
387.5,61.1199,90.602,125.103
392.5,61.5686,90.5944,129.029
397.5,59.7643,89.9593,126.786
402.5,60.6095,90.4728,125.302
407.5,61.4374,89.7595,124.55
412.5,63.9153,91.9161,129.185
417.5,60.9443,91.9507,130.951
422.5,61.6446,89.4566,128.971
427.5,62.0069,89.6922,126.561
432.5,62.7655,91.569,131.564
437.5,63.0168,91.7906,126.698
442.5,64.4811,90.6292,129.105
447.5,63.7032,92.1718,128.387
482.5,61.6948,89.3868,126.491
487.5,61.8562,89.2725,124.827
492.5,63.786,90.1952,125.596
497.5,63.581,92.4247,126.273
502.5,63.5661,91.8244,128.388
507.5,63.3555,91.3482,126.558
512.5,64.8212,92.969,132.296
517.5,63.7883,92.164,126.244
522.5,65.1112,93.58,134.525
527.5,62.3125,90.6873,129.027
532.5,62.5649,89.7953,128.25
537.5,61.6972,90.9714,130.706
542.5,64.3217,94.5149,134.2
547.5,65.1986,94.6766,127.879
552.5,63.3055,91.3723,126.734
557.5,65.0888,92.4219,130.971
562.5,62.8457,90.5497,128.478
567.5,64.3945,92.8873,126.691
572.5,62.3865,90.8486,127.689
577.5,63.2264,92.8887,132.092
582.5,61.926,92.7295,130.412
587.5,60.6705,90.2116,127.666
592.5,63.2519,90.147,122.818
597.5,64.8441,91.1387,130.049
602.5,63.8297,90.5228,126.801
607.5,62.5136,90.841,128.252
612.5,63.8263,90.2473,125.05
617.5,62.4006,92.7024,130.875
622.5,62.5095,93.0913,129.093
627.5,63.5139,91.5135,126.437
632.5,59.4266,90.251,124.399
637.5,65.1013,93.8512,127.31
642.5,62.1209,90.9923,128.573
647.5,65.2984,91.2587,123.614
652.5,61.2455,89.9129,123.98
657.5,64.6575,93.5336,126.286
662.5,62.7639,91.2746,122.735
667.5,62.2755,91.2115,120.499
672.5,63.6586,89.8348,124.367
677.5,63.5461,90.3913,126.519
682.5,63.6656,93.2923,129.86
687.5,62.9082,92.4081,126.898
692.5,62.7915,91.823,127.075
697.5,64.8343,93.064,133.028
702.5,64.9215,91.3198,127.342
707.5,63.9456,90.2776,126.639
712.5,63.8422,93.6111,133.347
717.5,62.1815,89.5637,128.948
722.5,63.0086,93.993,128.119
727.5,63.0435,91.258,126.273
732.5,65.1204,93.5872,132.432
737.5,62.0498,90.2252,130.06
742.5,63.0471,92.6549,125.896
747.5,65.0599,91.4655,127.363
752.5,61.5378,90.3185,123.934
757.5,63.3058,93.6631,134.223
762.5,63.291,90.129,126.299
767.5,63.6273,90.683,125.688
772.5,63.4705,92.5951,128.852
777.5,62.5262,91.7741,127.956
782.5,62.4065,88.8759,122.421
787.5,63.3013,92.2774,128.217
